Tue Apr 11 20:35:10 2023 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.03496, valid loss: 0.04846, precision: 0.9693, recall: 0.967567.
Tue Apr 11 20:43:05 2023 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.03354, valid loss: 0.04608, precision: 0.9685, recall: 0.968583.
Tue Apr 11 20:50:56 2023 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.03247, valid loss: 0.04686, precision: 0.9684, recall: 0.967658.
Tue Apr 11 20:58:49 2023 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.03172, valid loss: 0.04822, precision: 0.9705, recall: 0.967083.
Tue Apr 11 21:06:37 2023 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.03030, valid loss: 0.04853, precision: 0.9685, recall: 0.968763.
Tue Apr 11 21:14:23 2023 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.02974, valid loss: 0.04841, precision: 0.9702, recall: 0.968892.
Tue Apr 11 21:22:13 2023 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.02930, valid loss: 0.04887, precision: 0.9693, recall: 0.967899.
Tue Apr 11 21:30:00 2023 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.02841, valid loss: 0.04875, precision: 0.9702, recall: 0.968974.
Tue Apr 11 21:37:50 2023 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.02812, valid loss: 0.05027, precision: 0.9689, recall: 0.969970.
Tue Apr 11 21:45:42 2023 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.02775, valid loss: 0.04963, precision: 0.9698, recall: 0.968650.
Tue Apr 11 21:53:31 2023 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.02810, valid loss: 0.04892, precision: 0.9688, recall: 0.968506.
Tue Apr 11 22:01:23 2023 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.02730, valid loss: 0.04906, precision: 0.9692, recall: 0.969761.
Tue Apr 11 22:09:17 2023 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.02748, valid loss: 0.04988, precision: 0.9693, recall: 0.969806.
Tue Apr 11 22:17:06 2023 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.28076, valid loss: 0.16350, precision: 0.8600, recall: 0.852746.
Tue Apr 11 22:24:51 2023 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.10476, valid loss: 0.06943, precision: 0.9437, recall: 0.941614.
Tue Apr 11 22:32:39 2023 Fold 2, Epoch 3, lr: 0.0002991, train loss: 0.07431, valid loss: 0.06082, precision: 0.9472, recall: 0.958258.
Tue Apr 11 22:40:27 2023 Fold 2, Epoch 4, lr: 0.0002965, train loss: 0.06518, valid loss: 0.05728, precision: 0.9500, recall: 0.960906.
Tue Apr 11 22:48:15 2023 Fold 2, Epoch 5, lr: 0.0002921, train loss: 0.06018, valid loss: 0.05418, precision: 0.9504, recall: 0.966136.
Tue Apr 11 22:56:07 2023 Fold 2, Epoch 6, lr: 0.0002861, train loss: 0.05639, valid loss: 0.05338, precision: 0.9642, recall: 0.951750.
Tue Apr 11 23:04:00 2023 Fold 2, Epoch 7, lr: 0.0002785, train loss: 0.05357, valid loss: 0.05244, precision: 0.9461, recall: 0.966996.
Tue Apr 11 23:11:49 2023 Fold 2, Epoch 8, lr: 0.0002694, train loss: 0.05110, valid loss: 0.05018, precision: 0.9577, recall: 0.964047.
Tue Apr 11 23:19:37 2023 Fold 2, Epoch 9, lr: 0.0002589, train loss: 0.04845, valid loss: 0.04846, precision: 0.9622, recall: 0.961264.
Tue Apr 11 23:27:27 2023 Fold 2, Epoch 10, lr: 0.0002471, train loss: 0.04616, valid loss: 0.04866, precision: 0.9644, recall: 0.959192.
Tue Apr 11 23:35:18 2023 Fold 2, Epoch 11, lr: 0.0002342, train loss: 0.04443, valid loss: 0.04851, precision: 0.9585, recall: 0.962006.
Tue Apr 11 23:43:10 2023 Fold 2, Epoch 12, lr: 0.0002203, train loss: 0.04259, valid loss: 0.04718, precision: 0.9606, recall: 0.968535.
